"","Actor1CountryCode","Actor2CountryCode","AvgTone","NumArticles","SQLDATE","Year","Actor1Geo_Lat","Actor1Geo_Long","ActionGeo_CountryCode","EventCode","EventRootCode","Actor1Geo_CountryCode","Actor2Geo_CountryCode","SOURCEURL"
"9499","TUR","RUS","-2.16666666666667","1","20151127","2015","35.4018","35.9404","SY","193","19","SY","SY","Multiple Sources/BBC Monitoring/(c) BBC"
"9500","YEM",NA,"-4.96","5","20160303","2016","35.7441","36.164","SY","193","19","SY","SY","http://www.cbs8.com/story/31351680/the-latest-un-hopes-to-resume-syria-peace-talks-march-9"
"9501",NA,NA,"-7.25806451612903","10","20160308","2016","35.5148","35.7768","SY","190","19","SY","SY","http://en.farsnews.com/newstext.aspx?nn=13941218001002"
"9502",NA,"SYR","1.68888888888889","2","20140328","2014","35.5148","35.7768","SY","190","19","SY","SY","http://www.dailymail.co.uk/wires/ap/article-2589677/Syrian-rebels-battle-deeper-coastal-province.html"
"9503","USA",NA,"-5.24160524160525","2","20160220","2016","35.5148","35.7768","SY","190","19","SY","RS","http://prophecyupdate.blogspot.com/2016/02/all-prophecy-eyes-watching-syria.html"
"9504",NA,"SYR","0.957354221061793","1","20140811","2014","35.7122","36.0548","SY","190","19","SY","IZ","http://www.dailystar.com.lb/News/Middle-East/2014/Aug-12/266893-for-iraqs-yezidis-a-frantic-search-for-the-missing.ashx"
"9505",NA,NA,"-7.94824399260629","5","20150430","2015","33.1259","35.8246","SY","195","19","SY",NA,"http://syriadirect.org/news/syria-direct-news-update-4-30-15/"
"9506","ISR",NA,"0.69284064665127","2","20150129","2015","33.1259","35.8246","SY","194","19","SY",NA,"http://www.pressherald.com/2015/01/29/hezbollah-missiles-kill-two-escalate-clashes/"
"9507",NA,NA,"4.37636761487965","4","20110505","2011","33.2456","35.6928","SY","190","19","SY",NA,"unspecified"
"9508","ISR",NA,"1.8758687795385","3","20121112","2012","33.0528","35.8672","SY","193","19","SY",NA,"unspecified"
"9509","SYR",NA,"1.21721190686708","2","20130217","2013","33.1259","35.8246","SY","190","19","SY",NA,"unspecified"
"9510","SYR","TUR","0.0955109837631327","3","20120720","2012","32.8875","35.6856","SY","190","19","SY","TU","unspecified"
"9511",NA,NA,"5.81395348837209","2","20110408","2011","33.27","35.7697","SY","193","19","SY",NA,"unspecified"
"9512","ISR",NA,"1.81039720513404","6","20110605","2011","33.27","35.7697","SY","192","19","SY",NA,"unspecified"
"9513","GBR","SYR","1.0752688172043","2","20140319","2014","33.1259","35.8246","SY","190","19","SY","IS","http://www.indianagazette.com/news/reg-national-world/israeli-airstrikes-kill-one-injure-seven,19529605/"
"9514",NA,"TUR","2.84502082809997","6","20130507","2013","33.2456","35.6928","SY","190","19","SY","IS","http://www.usatoday.com/story/news/world/2013/05/07/turkey-criticizes-israeli-airstrikes-on-syria/2140511/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+usatoday-NewsTopStories+%28News+-+Top+Stories%29"
"9515","SYR","ISR","-8.66666666666666","2","20150617","2015","33.1259","35.8246","SY","190","19","SY","IS","http://www.ifreepress.com/world/4906-government-rebel-shelling-in-and-around-syrian-capital-kills-18"
"9516","SYR","LBN","1.73913043478261","2","20120707","2012","32.7359","35.7441","SY","193","19","SY","LE","unspecified"
"9517","SYR",NA,"-10.5203957175769","12","20160210","2016","33.2707","35.6232","SY","190","19","SY","SY","http://en.farsnews.com/newstext.aspx?nn=13941121001355"
"9518",NA,"SYR","-6.553911205074","2","20150617","2015","33.1259","35.8246","SY","190","19","SY","SY","http://www.business-standard.com/article/news-ians/syrian-rebels-attack-area-bordering-golan-heights-115061701049_1.html"
"9519","SYR",NA,"2.02020202020202","2","20150112","2015","33.1259","35.8246","SY","190","19","SY","SY","http://english.farsnews.com/newstext.aspx?nn=13931022000682"
"9520","SYR","ISR","1.1605415860735","2","20141007","2014","33.1259","35.8246","SY","190","19","SY","SY","http://www.businessweek.com/news/2014-10-07/assad-golan-loss-maps-bleak-syrian-future-israel-s-zisser-says"
"9521","SYR","SYR","-5.45454545454545","4","20150721","2015","33.1259","35.8246","SY","190","19","SY","SY","http://www.aljazeera.com/news/2015/08/israeli-army-attacks-syrian-town-rocket-attacks-150820193034622.html"
